link,courseid,coursename,Coursetitle,lessonID,lessonname,Corresponding folder name,Corresponding file name in the folder
https://www.michaelmanagement.com/files/training/CRM101/crm101_09/imsmanifest.xml,404,CRM101,SAP CRM - Sales Professional,crm101_09,Quotations,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CRM101/crm101_10/imsmanifest.xml,404,CRM101,SAP CRM - Sales Professional,crm101_10,Sales Orders,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CRM101/crm101_12/imsmanifest.xml,404,CRM101,SAP CRM - Sales Professional,crm101_12,Pipeline Performance Management,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CRM101/crm101_13/imsmanifest.xml,404,CRM101,SAP CRM - Sales Professional,crm101_13,Interactive Analytic Reports,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CRM102/crm102_01/imsmanifest.xml,419,CRM102,SAP CRM - Sales Manager,crm102_01,Overview of Web UI Interface & Personalization,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CRM102/crm102_02/imsmanifest.xml,419,CRM102,SAP CRM - Sales Manager,crm102_02,Territory Management,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CRM102/crm102_04/imsmanifest.xml,419,CRM102,SAP CRM - Sales Manager,crm102_04,Sales Quota Planning,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/HR210/hr210_04/imsmanifest.xml,471,HR210,SAP HR CATS Time Sheets,hr210_04,Advanced Techniques for Reviewing/Approving,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/HR210/hr210_05/imsmanifest.xml,471,HR210,SAP HR CATS Time Sheets,hr210_05,Transfer of Time Sheet Data to Human Resources,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/HR210/hr210_08/imsmanifest.xml,471,HR210,SAP HR CATS Time Sheets,hr210_08,Display Working Times and CATS Data,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/HR210/hr210_09/imsmanifest.xml,471,HR210,SAP HR CATS Time Sheets,hr210_09,Time Leveling,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/HR210/hr210_03/imsmanifest.xml,471,HR210,SAP HR CATS Time Sheets,hr210_03,Review and Approve Time for Assigned Employees,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/HR210/hr210_11/imsmanifest.xml,471,HR210,SAP HR CATS Time Sheets,hr210_11,Display CATS Data Using SAP Utility Transactions,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/PP104/pp104_02/imsmanifest.xml,474,PP104,SAP Production Planning - Capacity Planning,pp104_02,Work Center Setup,PP104-HTML5.zip,
https://www.michaelmanagement.com/files/training/PP104/pp104_03/imsmanifest.xml,474,PP104,SAP Production Planning - Capacity Planning,pp104_03,Factory Calendar,PP104-HTML5.zip,
https://www.michaelmanagement.com/files/training/PP104/pp104_04/imsmanifest.xml,474,PP104,SAP Production Planning - Capacity Planning,pp104_04,Maintain Work Center Capacity,PP104-HTML5.zip,
https://www.michaelmanagement.com/files/training/PP104/pp104_05/imsmanifest.xml,474,PP104,SAP Production Planning - Capacity Planning,pp104_05,Display Capacities,PP104-HTML5.zip,
https://www.michaelmanagement.com/files/training/PP104/pp104_06/imsmanifest.xml,474,PP104,SAP Production Planning - Capacity Planning,pp104_06,Create Routing,PP104-HTML5.zip,
https://www.michaelmanagement.com/files/training/GRC101/GRC101_06/imsmanifest.xml,480,GRC101,SAP GRC Access Control,GRC101_06,Search for User Provisioning Request,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/GRC101/GRC101_08/imsmanifest.xml,480,GRC101,SAP GRC Access Control,GRC101_08,Upload Roles from Back-end Systems,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/GRC101/GRC101_10/imsmanifest.xml,480,GRC101,SAP GRC Access Control,GRC101_10,Create Access Request - Modeling a Role,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/GRC101/GRC101_12/imsmanifest.xml,480,GRC101,SAP GRC Access Control,GRC101_12,Create Access Request - Using Templates - Single user,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/GRC101/GRC101_15/imsmanifest.xml,480,GRC101,SAP GRC Access Control,GRC101_15,Maintaining Rule Sets,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/GRC101/GRC101_01/imsmanifest.xml,480,GRC101,SAP GRC Access Control,GRC101_01,Risk Analysis - User Level,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/WEBI101/WEBI101_03/imsmanifest.xml,482,WEBI101,SAP BusinessObjects Web Intelligence,WEBI101_03,Using Query Filters,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/WEBI101/WEBI101_07/imsmanifest.xml,482,WEBI101,SAP BusinessObjects Web Intelligence,WEBI101_07,Working with Charts and Report tabs,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/WEBI101/WEBI101_12/imsmanifest.xml,482,WEBI101,SAP BusinessObjects Web Intelligence,WEBI101_12,Formulas & Variables,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/WEBI101/WEBI101_15/imsmanifest.xml,482,WEBI101,SAP BusinessObjects Web Intelligence,WEBI101_15,Document Presentation,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/WEBI101/WEBI101_16/imsmanifest.xml,482,WEBI101,SAP BusinessObjects Web Intelligence,WEBI101_16,Saving and Sending,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/WEBI101/WEBI101_04/imsmanifest.xml,482,WEBI101,SAP BusinessObjects Web Intelligence,WEBI101_04,Exploring Report Table Blocks,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/WEBI101/WEBI101_09/imsmanifest.xml,482,WEBI101,SAP BusinessObjects Web Intelligence,WEBI101_09,Breaks and Totals,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
